INSTANCE	NODES	ARCS	SEEDS	METHOD	COVER
frb30-15-1.txt	450	17827   	6535	a	446
frb30-15-1.txt	450	17827    	8149	a	442
frb30-15-1.txt	450	17827    	7107	a	444
frb30-15-1.txt	450	17827    	943	a	444
frb30-15-1.txt	450	17827    	3014	a	444
frb30-15-1.txt	450	17827    	2164	a	450
frb30-15-1.txt	450	17827    	9442	a	442
frb30-15-1.txt	450	17827    	1048	a	446
frb30-15-1.txt	450	17827    	9355	a	446
frb30-15-1.txt	450	17827    	3260	a	444
frb30-15-1.txt	450	17827    	8546	a	444
frb30-15-1.txt	450	17827    	5310	a	446
frb30-15-1.txt	450	17827    	3033	a	444
frb30-15-1.txt	450	17827    	8406	a	444
frb30-15-1.txt	450	17827    	3004	a	444
frb30-15-1.txt	450	17827    	4718	a	444
frb30-15-1.txt	450	17827    	8637	a	446
frb30-15-1.txt	450	17827    	1704	a	446
frb30-15-1.txt	450	17827    	1255	a	444
frb30-15-1.txt	450	17827    	2222	a	442
frb30-15-1.txt	450	17827    	1473	a	446
frb30-15-1.txt	450	17827    	1330	a	440
frb30-15-1.txt	450	17827    	698	a	444
frb30-15-1.txt	450	17827    	462	a	446
frb30-15-1.txt	450	17827    	2230	a	448
frb30-15-1.txt	450	17827    	2211	a	444
frb30-15-1.txt	450	17827    	4372	a	444
frb30-15-1.txt	450	17827    	8604	a	444
frb30-15-1.txt	450	17827    	587	a	444
frb30-15-1.txt	450	17827    	704	a	442
frb30-15-1.txt	450	17827    	5585	a	444
frb30-15-1.txt	450	17827    	3391	a	448
frb30-15-1.txt	450	17827    	7239	a	444
frb30-15-1.txt	450	17827    	7187	a	442
frb30-15-1.txt	450	17827    	1879	a	446
frb30-15-1.txt	450	17827    	696	a	446
frb30-15-1.txt	450	17827    	4256	a	444
frb30-15-1.txt	450	17827    	852	a	446
frb30-15-1.txt	450	17827    	6312	a	448
frb30-15-1.txt	450	17827    	9333	a	446
frb30-15-1.txt	450	17827    	76	a	444
frb30-15-1.txt	450	17827    	8692	a	446
frb30-15-1.txt	450	17827    	1887	a	446
frb30-15-1.txt	450	17827    	5688	a	448
frb30-15-1.txt	450	17827    	1998	a	446
frb30-15-1.txt	450	17827    	8995	a	442
frb30-15-1.txt	450	17827    	693	a	442
frb30-15-1.txt	450	17827    	6082	a	444
frb30-15-1.txt	450	17827    	8018	a	444
frb30-15-1.txt	450	17827    	1107	a	442
frb30-15-1.txt	450	17827    	2163	a	444
frb30-15-1.txt	450	17827    	7240	a	446
frb30-15-1.txt	450	17827    	4955	a	446
frb30-15-1.txt	450	17827    	1322	a	444
frb30-15-1.txt	450	17827    	7772	a	444
frb30-15-1.txt	450	17827    	9776	a	446
frb30-15-1.txt	450	17827    	7291	a	448
frb30-15-1.txt	450	17827    	4804	a	444
frb30-15-1.txt	450	17827    	304	a	444
